Date,Year,Month,Day,Discharge
1964-01-01,1964,1,1,0.212
1964-01-02,1964,1,2,0.278
1964-01-03,1964,1,3,0.368
1964-01-04,1964,1,4,0.433
1964-01-05,1964,1,5,0.394
1964-01-06,1964,1,6,0.354
1964-01-07,1964,1,7,0.379
1964-01-08,1964,1,8,0.405
1964-01-09,1964,1,9,0.368
1964-01-10,1964,1,10,0.626
1964-01-11,1964,1,11,0.657
1964-01-12,1964,1,12,0.612
1964-01-13,1964,1,13,0.394
1964-01-14,1964,1,14,0.309
1964-01-15,1964,1,15,0.354
1964-01-16,1964,1,16,0.476
1964-01-17,1964,1,17,0.535
1964-01-18,1964,1,18,0.521
1964-01-19,1964,1,19,0.493
1964-01-20,1964,1,20,0.535
1964-01-21,1964,1,21,0.702
1964-01-22,1964,1,22,0.974
1964-01-23,1964,1,23,1.01
1964-01-24,1964,1,24,0.935
1964-01-25,1964,1,25,0.589
1964-01-26,1964,1,26,5.04
1964-01-27,1964,1,27,2.51
1964-01-28,1964,1,28,1.95
1964-01-29,1964,1,29,0.974
1964-01-30,1964,1,30,0.612
1964-01-31,1964,1,31,0.447
1964-02-01,1964,2,1,0.564
1964-02-02,1964,2,2,0.578
1964-02-03,1964,2,3,0.224
1964-02-04,1964,2,4,0.201
1964-02-05,1964,2,5,0.394
1964-02-06,1964,2,6,0.379
1964-02-07,1964,2,7,0.379
1964-02-08,1964,2,8,0.379
1964-02-09,1964,2,9,0.368
1964-02-10,1964,2,10,0.34
1964-02-11,1964,2,11,0.34
1964-02-12,1964,2,12,0.303
1964-02-13,1964,2,13,0.368
1964-02-14,1964,2,14,0.507
1964-02-15,1964,2,15,0.447
1964-02-16,1964,2,16,0.278
1964-02-17,1964,2,17,0.289
1964-02-18,1964,2,18,0.238
1964-02-19,1964,2,19,0.419
1964-02-20,1964,2,20,0.278
1964-02-21,1964,2,21,0.093
1964-02-22,1964,2,22,0.127
1964-02-23,1964,2,23,0.244
1964-02-24,1964,2,24,0.303
1964-02-25,1964,2,25,0.34
1964-02-26,1964,2,26,0.34
1964-02-27,1964,2,27,0.178
1964-02-28,1964,2,28,0.266
1964-02-29,1964,2,29,0.278
1964-03-01,1964,3,1,0.394
1964-03-02,1964,3,2,0.935
1964-03-03,1964,3,3,3.12
1964-03-04,1964,3,4,2.27
1964-03-05,1964,3,5,17.4
1964-03-06,1964,3,6,4.25
1964-03-07,1964,3,7,2.41
1964-03-08,1964,3,8,1.56
1964-03-09,1964,3,9,0.991
1964-03-10,1964,3,10,0.668
1964-03-11,1964,3,11,0.719
1964-03-12,1964,3,12,0.935
1964-03-13,1964,3,13,0.255
1964-03-14,1964,3,14,0.595
1964-03-15,1964,3,15,4.39
1964-03-16,1964,3,16,2.12
1964-03-17,1964,3,17,1.13
1964-03-18,1964,3,18,0.685
1964-03-19,1964,3,19,0.85
1964-03-20,1964,3,20,0.85
1964-03-21,1964,3,21,0.85
1964-03-22,1964,3,22,0.85
1964-03-23,1964,3,23,0.85
1964-03-24,1964,3,24,0.85
1964-03-25,1964,3,25,1.31
1964-03-26,1964,3,26,1.82
1964-03-27,1964,3,27,1.56
1964-03-28,1964,3,28,1.05
1964-03-29,1964,3,29,0.841
1964-03-30,1964,3,30,0.702
1964-03-31,1964,3,31,0.447
1964-04-01,1964,4,1,0.433
1964-04-02,1964,4,2,0.314
1964-04-03,1964,4,3,0.328
1964-04-04,1964,4,4,0.314
1964-04-05,1964,4,5,0.255
1964-04-06,1964,4,6,1.07
1964-04-07,1964,4,7,2.07
1964-04-08,1964,4,8,2.07
1964-04-09,1964,4,9,1.14
1964-04-10,1964,4,10,0.77
1964-04-11,1964,4,11,0.657
1964-04-12,1964,4,12,0.64
1964-04-13,1964,4,13,0.77
1964-04-14,1964,4,14,1.93
1964-04-15,1964,4,15,0.915
1964-04-16,1964,4,16,0.626
1964-04-17,1964,4,17,0.476
1964-04-18,1964,4,18,0.405
1964-04-19,1964,4,19,0.379
1964-04-20,1964,4,20,0.368
1964-04-21,1964,4,21,0.405
1964-04-22,1964,4,22,0.804
1964-04-23,1964,4,23,0.753
1964-04-24,1964,4,24,0.535
1964-04-25,1964,4,25,0.328
1964-04-26,1964,4,26,0.303
1964-04-27,1964,4,27,0.278
1964-04-28,1964,4,28,0.314
1964-04-29,1964,4,29,0.578
1964-04-30,1964,4,30,1.07
1964-05-01,1964,5,1,0.657
1964-05-02,1964,5,2,0.493
1964-05-03,1964,5,3,0.303
1964-05-04,1964,5,4,0.255
1964-05-05,1964,5,5,0.17
1964-05-06,1964,5,6,0.244
1964-05-07,1964,5,7,0.136
1964-05-08,1964,5,8,0.161
1964-05-09,1964,5,9,0.17
1964-05-10,1964,5,10,0.178
